 Time | Bryan raw |  Bryan |  Temp  |
   0 |   51.3  | 308.68 |  39.82 |
   5 |   51.5  | 308.54 |  40.66 |
  10 |   51.8  | 308.21 |  40.66 |
  15 |   52.0  | 307.95 |  40.74 |
  20 |   52.4  | 307.58 |  40.68 |
  25 |   52.7  | 307.34 |  40.71 |
  30 |   52.8  | 307.16 |  40.65 |
  35 |   53.0  | 307.00 |  40.67 |
  40 |   53.1  | 306.90 |  40.62 |
  45 |   53.2  | 306.79 |  40.62 |
  50 |   53.3  | 306.67 |  40.61 |
  55 |   53.6  | 306.35 |  21.01 |
  60 |   55.5  | 304.48 |  40.58 |
  65 |   60.4  | 299.64 |  40.58 |
  70 |   64.2  | 295.82 |  40.55 |
  75 |   67.0  | 292.95 |  40.63 |
  80 |   69.4  | 290.64 |  40.63 |
  85 |   71.1  | 288.88 |  40.66 |
  90 |   72.5  | 287.50 |  40.65 |
  95 |   73.5  | 286.47 |  40.60 |
 100 |   74.4  | 285.64 |  40.65 |
 105 |   75.0  | 284.98 |  40.66 |
 110 |   75.5  | 284.52 |  40.67 |
 115 |   75.8  | 284.19 |  40.64 |
 120 |   76.0  | 283.97 |  40.59 |
 125 |   76.3  | 283.71 |  40.54 |
 130 |   76.5  | 283.52 |  40.51 |
 135 |   76.4  | 283.56 |  40.60 |
 140 |   76.6  | 283.41 |  40.64 |
 145 |   76.7  | 283.31 |  40.58 |
 150 |   76.8  | 283.15 |  40.66 |
 155 |   76.8  | 283.15 |  40.61 |
 160 |   76.9  | 283.05 |  40.62 |
 165 |   76.9  | 283.06 |  40.67 |
 170 |   76.9  | 283.09 |  40.68 |
 175 |   76.9  | 283.10 |  40.50 |
 180 |   76.9  | 283.06 |  40.60 |
 185 |   76.9  | 283.09 |  40.61 |
 190 |   76.9  | 283.08 |  40.63 |
 195 |   77.0  | 283.04 |  40.54 |
 200 |   76.9  | 283.10 |  68.97 |
 205 |   76.8  | 283.16 |  40.54 |
 210 |   76.8  | 283.15 |  40.45 |
 215 |   76.9  | 283.11 |  40.50 |
 220 |   76.9  | 283.08 |  40.51 |
 225 |   77.0  | 283.03 |  40.49 |
 230 |   76.9  | 283.07 |  40.45 |
 235 |   76.9  | 283.05 |  40.48 |
 240 |   76.9  | 283.06 |  40.42 |
 245 |   77.0  | 283.03 |  40.51 |
 250 |   77.0  | 283.04 |  40.47 |
 255 |   77.0  | 283.02 |  40.41 |
 260 |   77.0  | 282.96 |  40.52 |
 265 |   77.0  | 282.96 |  40.51 |
 270 |   77.1  | 282.94 |  40.41 |
 275 |   77.0  | 283.00 |  40.44 |
 280 |   77.0  | 282.99 |  40.44 |
 285 |   77.0  | 283.01 |  40.34 |
 290 |   76.9  | 283.08 |  40.35 |
 295 |   77.0  | 283.03 |  40.30 |
 300 |   76.9  | 283.07 |  21.77 |
 305 |   77.0  | 283.04 |  40.34 |
 310 |   76.9  | 283.06 |  40.31 |
 315 |   76.8  | 283.15 |  40.29 |
 320 |   76.9  | 283.10 |  40.28 |
 325 |   76.8  | 283.16 |  40.20 |
 330 |   76.9  | 283.14 |  40.21 |
 335 |   76.9  | 283.05 |  40.22 |
 340 |   76.8  | 283.16 |  40.22 |
 345 |   77.0  | 283.02 |  40.17 |
 350 |   77.0  | 283.03 | 217.29 |
 355 |   77.0  | 283.00 |  40.20 |
 360 |   77.0  | 283.03 |  40.16 |
 365 |   77.0  | 283.02 |  40.16 |
 370 |   76.8  | 283.17 |  40.13 |
 375 |   76.8  | 283.18 |  40.14 |
 380 |   76.8  | 283.16 |  40.15 |
 385 |   76.9  | 283.13 |  40.12 |
 390 |   76.9  | 283.12 |  40.04 |
 395 |   76.8  | 283.20 |  40.01 |
 400 |   76.9  | 283.14 |  40.03 |
 405 |   76.9  | 283.14 |  22.53 |
 410 |   76.9  | 283.14 |  39.99 |
 415 |   76.8  | 283.19 |  39.98 |
 420 |   76.9  | 283.11 |  40.01 |
 425 |   76.9  | 283.11 |  39.93 |
 430 |   76.9  | 283.06 |  39.97 |
 435 |   77.0  | 283.03 |  39.93 |
 440 |   77.0  | 283.02 |  39.94 |
 445 |   77.0  | 283.04 |  39.90 |
 450 |   76.9  | 283.14 |  39.92 |
 455 |   76.8  | 283.17 |  39.93 |
 460 |   76.8  | 283.19 |  39.86 |
 465 |   76.8  | 283.20 |  39.84 |
 470 |   76.8  | 283.18 |  39.78 |
 475 |   76.9  | 283.12 |  39.74 |
 480 |   76.8  | 283.18 |  39.76 |
 485 |   76.8  | 283.15 |  39.73 |
 490 |   76.8  | 283.19 |  39.70 |
 495 |   77.0  | 283.04 |  39.71 |
 500 |   76.9  | 283.11 |  39.67 |
 505 |   77.0  | 283.01 |  39.65 |
 510 |   77.0  | 282.97 |  39.62 |
 515 |   77.0  | 283.04 |  39.67 |
 520 |   77.0  | 282.99 |  39.64 |
 525 |   77.0  | 283.02 |  21.00 |
 530 |   77.0  | 283.04 |  39.60 |
 535 |   77.1  | 282.92 |  39.50 |
 540 |   77.0  | 283.01 |  39.59 |
 545 |   77.0  | 282.98 |  39.49 |
 550 |   77.0  | 283.02 |  39.49 |
 555 |   76.9  | 283.05 |  39.42 |
 560 |   77.0  | 282.99 |  39.46 |
 565 |   77.0  | 282.97 |  39.41 |
 570 |   77.0  | 283.01 |  39.41 |
 575 |   77.0  | 283.00 |  39.31 |
 580 |   76.9  | 283.07 |  39.31 |
 585 |   76.9  | 283.11 |  39.35 |
 590 |   76.9  | 283.07 |  39.31 |
 595 |   76.9  | 283.08 |  39.27 |
 600 |   76.9  | 283.07 |  39.29 |
 605 |   76.9  | 283.10 |  39.32 |
 610 |   77.0  | 283.01 |  39.27 |
 615 |   76.9  | 283.05 |  39.25 |
 620 |   77.1  | 282.90 |  39.20 |
 625 |   77.0  | 282.99 |  39.20 |
 630 |   76.9  | 283.05 |  39.15 |
 635 |   77.0  | 283.01 |  39.15 |
 640 |   76.9  | 283.06 |  39.08 |
 645 |   77.0  | 283.03 |  39.11 |
 650 |   77.0  | 283.02 |  39.12 |
 655 |   76.9  | 283.09 |  39.05 |
 660 |   76.8  | 283.15 |  39.02 |
 665 |   76.9  | 283.09 |  39.05 |
 670 |   77.0  | 283.03 |  39.00 |
 675 |   77.0  | 283.04 |  38.94 |
 680 |   77.0  | 283.04 |  38.95 |
 685 |   76.9  | 283.12 |  21.76 |
 690 |   77.0  | 282.99 |  38.94 |
 695 |   76.9  | 283.08 |  38.86 |
 700 |   77.0  | 282.99 |  38.84 |
 705 |   77.0  | 282.99 |  38.76 |
 710 |   77.1  | 282.91 |  38.73 |
 715 |   77.1  | 282.90 |  38.76 |
 720 |   77.2  | 282.81 |  38.72 |
 725 |   77.2  | 282.82 |  38.63 |
 730 |   77.2  | 282.75 |  38.62 |
 735 |   77.3  | 282.70 |  38.61 |
 740 |   77.3  | 282.66 |  21.00 |
 745 |   77.4  | 282.59 |  38.56 |
 750 |   77.5  | 282.54 |  38.53 |
 755 |   77.4  | 282.55 |  38.50 |
 760 |   77.5  | 282.53 |  38.55 |
 765 |   77.5  | 282.52 |  38.40 |
 770 |   77.5  | 282.48 |  51.40 |
 775 |   77.6  | 282.39 |  38.40 |
 780 |   77.6  | 282.42 |  38.35 |
 785 |   77.7  | 282.30 |  38.34 |
 790 |   77.6  | 282.38 |  38.32 |
 795 |   77.7  | 282.28 |  38.25 |
 800 |   77.6  | 282.42 |  38.21 |
 805 |   77.7  | 282.30 |  38.22 |
 810 |   77.7  | 282.30 |  38.14 |
 815 |   77.7  | 282.29 |  38.15 |
 820 |   77.7  | 282.27 |  38.19 |
 825 |   77.8  | 282.19 |  38.07 |
 830 |   77.9  | 282.09 |  38.09 |
 835 |   77.8  | 282.15 |  38.11 |
 840 |   77.8  | 282.19 |  38.02 |
 845 |   77.8  | 282.23 |  38.07 |
 850 |   77.8  | 282.18 |  38.06 |
 855 |   77.9  | 282.14 |  38.03 |
 860 |   77.9  | 282.14 |  37.99 |
 865 |   77.9  | 282.12 |  38.02 |
 870 |   77.9  | 282.08 |  37.94 |
 875 |   78.1  | 281.93 |  37.92 |
 880 |   78.0  | 281.97 |  47.34 |
 885 |   78.0  | 282.03 |  37.83 |
 890 |   78.0  | 281.95 |  37.79 |
 895 |   78.0  | 281.98 |  37.78 |
 900 |   77.9  | 282.12 |  37.77 |
 905 |   77.9  | 282.08 |  37.77 |
 910 |   77.9  | 282.13 |  37.73 |
 915 |   78.0  | 281.97 |  37.69 |
 920 |   78.0  | 281.96 |  46.06 |
 925 |   78.0  | 281.97 |  37.70 |
 930 |   78.1  | 281.93 |  37.68 |
 935 |   78.1  | 281.90 |  37.59 |
 940 |   78.0  | 281.95 |  37.59 |
 945 |   78.2  | 281.83 |  37.53 |
 950 |   78.1  | 281.86 |  37.55 |
 955 |   78.2  | 281.80 |  37.54 |
 960 |   78.1  | 281.90 |  37.45 |
 965 |   78.1  | 281.89 |  37.46 |
 970 |   78.2  | 281.84 |  37.46 |
 975 |   78.1  | 281.86 |  37.36 |
 980 |   78.1  | 281.92 |  37.38 |
 985 |   78.1  | 281.91 |  37.42 |
 990 |   78.0  | 282.00 |  37.33 |
 995 |   78.0  | 282.04 |  43.84 |
1000 |   77.9  | 282.05 |  21.00 |
1005 |   78.1  | 281.93 |  37.31 |
1010 |   78.1  | 281.92 |  37.33 |
1015 |   78.1  | 281.85 |  37.30 |
1020 |   78.1  | 281.88 |  37.23 |
1025 |   78.2  | 281.82 |  37.16 |
1030 |   78.2  | 281.75 |  37.20 |
1035 |   78.2  | 281.79 |  37.18 |
1040 |   78.3  | 281.73 |  37.12 |
1045 |   78.2  | 281.75 |  37.03 |
1050 |   78.3  | 281.72 |  37.06 |
1055 |   78.3  | 281.71 |  37.02 |
1060 |   78.3  | 281.71 |  36.98 |
1065 |   78.3  | 281.66 |  37.04 |
1070 |   78.4  | 281.57 |  36.95 |
1075 |   78.5  | 281.53 |  36.94 |
1080 |   78.6  | 281.44 |  36.86 |
1085 |   78.6  | 281.44 |  36.93 |
1090 |   78.7  | 281.33 |  36.85 |
1095 |   78.7  | 281.28 |  36.86 |
1100 |   78.7  | 281.30 |  36.82 |
1105 |   78.7  | 281.27 |  36.80 |
1110 |   78.7  | 281.28 |  36.79 |
1115 |   78.7  | 281.25 |  36.79 |
1120 |   78.7  | 281.33 |  41.00 |
1125 |   78.7  | 281.29 |  36.72 |
1130 |   78.8  | 281.23 |  36.66 |
1135 |   78.8  | 281.22 |  36.63 |
1140 |   78.8  | 281.16 |  36.59 |
1145 |   78.7  | 281.25 |  36.54 |
1150 |   78.9  | 281.14 |  51.40 |
1155 |   78.9  | 281.13 |  36.50 |
1160 |   78.9  | 281.08 |  36.52 |
1165 |   79.0  | 281.03 |  21.00 |
1170 |   79.0  | 280.98 |  36.45 |
1175 |   79.1  | 280.88 |  36.54 |
1180 |   79.1  | 280.92 |  36.43 |
1185 |   79.1  | 280.93 |  36.44 |
1190 |   79.2  | 280.83 |  36.38 |
1195 |   79.1  | 280.88 |  36.35 |
1200 |   79.2  | 280.81 |  36.38 |
1205 |   79.2  | 280.81 |  36.29 |
1210 |   79.3  | 280.67 |  36.28 |
1215 |   79.3  | 280.73 |  36.24 |
1220 |   79.3  | 280.69 |  36.27 |
1225 |   79.3  | 280.69 |  36.21 |
1230 |   79.5  | 280.54 |  36.10 |
1235 |   79.4  | 280.62 |  36.07 |
1240 |   79.5  | 280.53 |  36.06 |
1245 |   79.5  | 280.54 |  36.05 |
1250 |   79.5  | 280.50 |  36.00 |
1255 |   79.6  | 280.42 |  21.00 |
1260 |   79.6  | 280.40 |  35.96 |
1265 |   79.6  | 280.42 |  35.93 |
1270 |   79.6  | 280.42 |  35.92 |
1275 |   79.6  | 280.43 |  35.89 |
1280 |   79.6  | 280.36 |  35.87 |
1285 |   79.6  | 280.37 |  35.85 |
1290 |   79.7  | 280.30 |  35.85 |
1295 |   79.6  | 280.37 |  35.83 |
1300 |   79.8  | 280.21 |  35.72 |
1305 |   79.8  | 280.16 |  35.75 |
1310 |   79.9  | 280.07 |  35.72 |
1315 |   79.9  | 280.13 |  35.74 |
1320 |   80.0  | 280.01 |  35.65 |
1325 |   79.9  | 280.08 |  35.62 |
1330 |   79.7  | 280.32 |  21.00 |
1335 |   79.7  | 280.28 |  35.53 |
1340 |   79.8  | 280.17 |  35.56 |
1345 |   79.9  | 280.06 |  35.59 |
1350 |   80.0  | 279.97 |  35.58 |
1355 |   80.1  | 279.86 |  35.51 |
1360 |   80.2  | 279.84 |  35.54 |
1365 |   80.3  | 279.72 |  35.44 |
1370 |   80.3  | 279.66 |  35.39 |
1375 |   80.5  | 279.53 |  35.33 |
1380 |   80.5  | 279.45 |  35.41 |
1385 |   80.5  | 279.46 | 216.53 |
1390 |   80.6  | 279.41 |  35.26 |
1395 |   80.6  | 279.42 |  35.29 |
1400 |   80.6  | 279.42 |  35.23 |
1405 |   80.7  | 279.31 |  35.19 |
1410 |   80.7  | 279.28 |  35.13 |
1415 |   80.7  | 279.28 |  35.12 |
1420 |   80.8  | 279.19 |  35.07 |
1425 |   80.8  | 279.15 |  35.05 |
1430 |   80.9  | 279.10 |  35.06 |
1435 |   80.9  | 279.09 |  35.00 |
1440 |   80.9  | 279.05 |  34.97 |
1445 |   81.1  | 278.92 |  34.96 |
