    Time   |  sec | Bryanraw|  Bryan |  Temp  |
 15:13:46  |    0 |   66.4  | 293.61 |  41.61 |
 15:13:51  |    5 |   66.1  | 293.94 |  41.65 |
 15:13:56  |   10 |   65.9  | 294.13 |  41.71 |
 15:14: 1  |   15 |   65.9  | 294.14 |  41.66 |
 15:14: 6  |   20 |   65.8  | 294.15 |  41.71 |
 15:14:11  |   25 |   65.8  | 294.17 |  41.73 |
 15:14:16  |   30 |   65.8  | 294.15 |  41.70 |
 15:14:21  |   35 |   65.8  | 294.17 |  41.62 |
 15:14:26  |   40 |   65.8  | 294.19 |  41.62 |
 15:14:31  |   45 |   65.8  | 294.19 |  41.56 |
 15:14:36  |   50 |   65.9  | 294.11 |  41.57 |
 15:14:41  |   55 |   66.0  | 293.95 |  41.56 |
 15:14:46  |   60 |   66.2  | 293.78 |  41.64 |
 15:14:51  |   65 |   66.4  | 293.62 |  41.63 |
 15:14:56  |   70 |   66.6  | 293.44 |  41.64 |
 15:15: 1  |   75 |   66.6  | 293.39 |  41.67 |
 15:15: 6  |   80 |   66.7  | 293.28 |  41.64 |
 15:15:11  |   85 |   66.7  | 293.32 |  41.68 |
 15:15:16  |   90 |   66.7  | 293.26 |  41.67 |
 15:15:21  |   95 |   66.8  | 293.19 |  21.00 |
 15:15:26  |  100 |   66.8  | 293.18 |  41.68 |
 15:15:31  |  105 |   66.9  | 293.10 |  41.73 |
 15:15:36  |  110 |   66.9  | 293.08 |  41.69 |
 15:15:41  |  115 |   66.9  | 293.11 |  41.69 |
 15:15:46  |  120 |   66.9  | 293.14 |  41.70 |
 15:15:51  |  125 |   66.9  | 293.10 |  41.67 |
 15:15:56  |  130 |   66.9  | 293.14 |  41.73 |
 15:16: 1  |  135 |   66.9  | 293.14 |  41.65 |
 15:16: 6  |  140 |   66.9  | 293.11 |  41.70 |
 15:16:11  |  145 |   66.9  | 293.09 |  22.53 |
 15:16:16  |  150 |   66.9  | 293.11 |  41.68 |
 15:16:21  |  155 |   66.9  | 293.11 |  41.68 |
 15:16:26  |  160 |   67.0  | 293.04 |  41.73 |
 15:16:31  |  165 |   66.9  | 293.06 |  41.71 |
 15:16:36  |  170 |   67.0  | 293.02 |  41.68 |
 15:16:41  |  175 |   66.9  | 293.07 |  41.69 |
 15:16:46  |  180 |   66.9  | 293.08 |  41.68 |
 15:16:51  |  185 |   66.9  | 293.07 |  41.69 |
 15:16:56  |  190 |   66.9  | 293.05 |  41.67 |
 15:17: 1  |  195 |   66.9  | 293.05 |  41.65 |
 15:17: 6  |  200 |   66.9  | 293.08 |  41.66 |
 15:17:11  |  205 |   67.0  | 293.03 |  41.63 |
 15:17:16  |  210 |   66.9  | 293.07 |  41.66 |
 15:17:21  |  215 |   67.0  | 293.02 |  41.63 |
 15:17:26  |  220 |   66.9  | 293.06 |  41.61 |
 15:17:31  |  225 |   67.0  | 292.99 |  41.62 |
 15:17:36  |  230 |   66.9  | 293.05 |  41.59 |
 15:17:41  |  235 |   67.0  | 293.03 |  41.63 |
 15:17:46  |  240 |   66.9  | 293.08 |  41.62 |
 15:17:51  |  245 |   66.9  | 293.07 |  41.60 |
 15:17:56  |  250 |   67.0  | 293.02 |  41.61 |
 15:18: 1  |  255 |   66.9  | 293.07 |  41.57 |
 15:18: 6  |  260 |   67.0  | 293.02 |  41.56 |
 15:18:11  |  265 |   67.0  | 293.00 |  41.54 |
 15:18:16  |  270 |   67.0  | 292.99 |  41.53 |
 15:18:21  |  275 |   67.0  | 292.97 |  41.55 |
 15:18:26  |  280 |   67.0  | 292.97 |  41.52 |
 15:18:31  |  285 |   67.1  | 292.94 |  41.53 |
 15:18:36  |  290 |   67.0  | 292.97 |  41.52 |
 15:18:41  |  295 |   67.0  | 293.02 |  41.54 |
 15:18:46  |  300 |   67.0  | 292.96 |  41.49 |
 15:18:51  |  305 |   67.0  | 292.98 |  41.51 |
 15:18:56  |  310 |   67.0  | 292.99 |  41.50 |
 15:19: 1  |  315 |   67.0  | 293.03 |  41.48 |
 15:19: 6  |  320 |   67.0  | 293.00 |  64.45 |
 15:19:11  |  325 |   67.0  | 292.98 |  41.42 |
 15:19:16  |  330 |   67.0  | 292.99 |  41.41 |
 15:19:21  |  335 |   67.0  | 293.01 |  41.40 |
 15:19:26  |  340 |   67.1  | 292.91 |  41.39 |
 15:19:31  |  345 |   67.1  | 292.91 |  41.37 |
 15:19:36  |  350 |   67.1  | 292.94 |  41.41 |
 15:19:41  |  355 |   67.1  | 292.93 |  41.43 |
 15:19:46  |  360 |   67.1  | 292.91 |  41.38 |
 15:19:51  |  365 |   67.1  | 292.93 |  41.39 |
 15:19:56  |  370 |   67.0  | 292.96 |  41.34 |
 15:20: 1  |  375 |   67.0  | 292.98 |  41.37 |
 15:20: 6  |  380 |   67.1  | 292.93 |  41.34 |
 15:20:11  |  385 |   67.0  | 292.97 |  41.29 |
 15:20:16  |  390 |   67.1  | 292.94 |  41.31 |
 15:20:21  |  395 |   67.0  | 293.02 |  41.30 |
 15:20:26  |  400 |   67.0  | 292.99 |  41.28 |
 15:20:31  |  405 |   67.0  | 292.95 |  41.25 |
 15:20:36  |  410 |   67.1  | 292.94 |  41.24 |
 15:20:41  |  415 |   67.1  | 292.91 |  41.22 |
 15:20:46  |  420 |   67.1  | 292.91 |  41.24 |
 15:20:51  |  425 |   67.0  | 292.95 |  41.25 |
 15:20:56  |  430 |   67.1  | 292.88 |  41.22 |
 15:21: 1  |  435 |   67.1  | 292.87 |  41.23 |
 15:21: 6  |  440 |   67.2  | 292.84 |  41.13 |
 15:21:11  |  445 |   67.2  | 292.83 |  41.19 |
 15:21:16  |  450 |   67.1  | 292.87 |  41.20 |
 15:21:21  |  455 |   67.2  | 292.83 |  41.13 |
 15:21:26  |  460 |   67.1  | 292.89 |  41.10 |
 15:21:31  |  465 |   67.2  | 292.78 |  41.07 |
 15:21:36  |  470 |   67.2  | 292.78 |  41.13 |
 15:21:41  |  475 |   67.3  | 292.69 |  41.09 |
 15:21:46  |  480 |   67.3  | 292.67 |  41.06 |
 15:21:51  |  485 |   67.3  | 292.66 |  41.10 |
 15:21:56  |  490 |   67.4  | 292.64 |  40.97 |
 15:22: 1  |  495 |   67.4  | 292.60 |  41.04 |
 15:22: 6  |  500 |   67.4  | 292.56 |  41.05 |
 15:22:11  |  505 |   67.4  | 292.55 |  41.03 |
 15:22:16  |  510 |   67.4  | 292.58 |  41.00 |
 15:22:21  |  515 |   67.4  | 292.60 |  40.97 |
 15:22:26  |  520 |   67.3  | 292.71 |  40.98 |
 15:22:31  |  525 |   67.3  | 292.65 |  40.99 |
 15:22:36  |  530 |   67.3  | 292.70 |  40.87 |
 15:22:41  |  535 |   67.4  | 292.63 |  40.86 |
 15:22:46  |  540 |   67.4  | 292.63 |  40.88 |
 15:22:51  |  545 |   67.4  | 292.61 |  40.91 |
 15:22:56  |  550 |   67.4  | 292.56 |  40.83 |
 15:23: 1  |  555 |   67.4  | 292.61 |  40.79 |
 15:23: 6  |  560 |   67.4  | 292.59 | 216.52 |
 15:23:11  |  565 |   67.4  | 292.63 |  40.79 |
 15:23:16  |  570 |   67.4  | 292.57 |  40.74 |
 15:23:21  |  575 |   67.4  | 292.61 |  40.77 |
 15:23:26  |  580 |   67.4  | 292.57 |  40.74 |
 15:23:31  |  585 |   67.4  | 292.62 |  40.79 |
 15:23:36  |  590 |   67.4  | 292.57 |  40.75 |
 15:23:41  |  595 |   67.4  | 292.63 |  40.73 |
 15:23:46  |  600 |   67.4  | 292.64 |  40.65 |
 15:23:51  |  605 |   67.4  | 292.63 |  23.30 |
 15:23:56  |  610 |   67.3  | 292.65 |  40.71 |
 15:24: 1  |  615 |   67.4  | 292.61 |  40.65 |
 15:24: 6  |  620 |   67.4  | 292.62 |  40.62 |
 15:24:11  |  625 |   67.4  | 292.57 |  21.00 |
 15:24:16  |  630 |   67.5  | 292.52 |  40.64 |
 15:24:21  |  635 |   67.5  | 292.51 |  40.61 |
 15:24:26  |  640 |   67.6  | 292.42 |  40.59 |
 15:24:31  |  645 |   67.5  | 292.47 |  40.50 |
 15:24:36  |  650 |   67.6  | 292.43 |  40.53 |
 15:24:41  |  655 |   67.5  | 292.52 |  40.55 |
 15:24:46  |  660 |   67.5  | 292.50 |  40.51 |
 15:24:51  |  665 |   67.5  | 292.48 |  40.47 |
 15:24:56  |  670 |   67.5  | 292.45 |  48.65 |
 15:25: 1  |  675 |   67.6  | 292.41 |  21.77 |
 15:25: 6  |  680 |   67.6  | 292.42 |  40.41 |
 15:25:11  |  685 |   67.6  | 292.41 |  40.45 |
 15:25:16  |  690 |   67.5  | 292.46 |  40.39 |
 15:25:21  |  695 |   67.5  | 292.47 |  40.38 |
 15:25:26  |  700 |   67.5  | 292.52 |  40.28 |
 15:25:31  |  705 |   67.5  | 292.47 |  40.29 |
 15:25:36  |  710 |   67.5  | 292.50 |  40.26 |
 15:25:41  |  715 |   67.6  | 292.44 |  40.24 |
 15:25:46  |  720 |   67.6  | 292.42 |  40.21 |
 15:25:51  |  725 |   67.6  | 292.37 |  40.24 |
 15:25:56  |  730 |   67.6  | 292.36 |  40.20 |
 15:26: 1  |  735 |   67.6  | 292.39 |  22.53 |
 15:26: 6  |  740 |   67.6  | 292.39 |  40.15 |
 15:26:11  |  745 |   67.7  | 292.32 |  40.15 |
 15:26:16  |  750 |   67.7  | 292.26 |  40.14 |
 15:26:21  |  755 |   67.7  | 292.25 |  40.09 |
 15:26:26  |  760 |   67.7  | 292.25 |  40.07 |
 15:26:31  |  765 |   67.7  | 292.28 |  40.04 |
 15:26:36  |  770 |   67.8  | 292.18 |  40.03 |
 15:26:41  |  775 |   67.8  | 292.16 |  39.99 |
 15:26:46  |  780 |   67.9  | 292.08 |  40.02 |
 15:26:51  |  785 |   67.9  | 292.14 |  39.88 |
 15:26:56  |  790 |   67.9  | 292.07 |  39.87 |
 15:27: 1  |  795 |   67.9  | 292.14 |  39.86 |
 15:27: 6  |  800 |   67.9  | 292.10 |  39.91 |
 15:27:11  |  805 |   67.9  | 292.07 |  39.81 |
 15:27:16  |  810 |   67.9  | 292.08 |  39.82 |
 15:27:21  |  815 |   67.9  | 292.05 |  39.78 |
 15:27:26  |  820 |   67.9  | 292.10 |  23.30 |
 15:27:31  |  825 |   67.9  | 292.09 |  39.66 |
 15:27:36  |  830 |   67.9  | 292.08 |  39.77 |
 15:27:41  |  835 |   67.9  | 292.08 |  39.73 |
 15:27:46  |  840 |   67.9  | 292.05 |  39.68 |
 15:27:51  |  845 |   68.0  | 291.98 |  39.67 |
 15:27:56  |  850 |   68.1  | 291.88 |  39.61 |
 15:28: 1  |  855 |   68.2  | 291.80 |  39.57 |
 15:28: 6  |  860 |   68.2  | 291.79 |  39.53 |
 15:28:11  |  865 |   68.3  | 291.72 |  39.53 |
 15:28:16  |  870 |   68.2  | 291.76 |  39.61 |
 15:28:21  |  875 |   68.3  | 291.69 |  39.53 |
