 Time | Bryan raw |  Bryan |  Temp  |
   0 |   67.7  | 292.29 |  21.32 |
   1 |   68.2  | 291.75 |  21.88 |
   2 |   68.8  | 291.23 |  22.05 |
   3 |   69.2  | 290.77 |  22.16 |
   4 |   69.7  | 290.34 |  22.20 |
   5 |   70.0  | 289.95 |  22.23 |
   6 |   70.4  | 289.56 |  22.23 |
   7 |   70.8  | 289.23 |  22.19 |
   8 |   71.1  | 288.90 |  22.24 |
   9 |   71.4  | 288.59 |  22.26 |
  10 |   71.7  | 288.32 |  22.34 |
  11 |   71.9  | 288.05 |  22.29 |
  12 |   72.2  | 287.80 |  22.30 |
  13 |   72.4  | 287.61 |  22.34 |
  14 |   72.6  | 287.39 |  22.37 |
  15 |   72.8  | 287.18 |  22.36 |
  16 |   73.0  | 286.96 |  22.35 |
  17 |   73.2  | 286.79 |  22.37 |
  18 |   73.4  | 286.62 |  22.39 |
  19 |   73.5  | 286.45 |  22.44 |
  20 |   73.7  | 286.26 |  22.48 |
  21 |   73.9  | 286.10 |  22.48 |
  22 |   74.0  | 285.97 |  22.42 |
  23 |   74.1  | 285.85 |  22.42 |
  24 |   74.4  | 285.64 | 217.29 |
  25 |   74.5  | 285.51 |  51.40 |
  26 |   74.6  | 285.41 |  22.49 |
  27 |   74.6  | 285.36 |  22.52 |
  28 |   74.7  | 285.27 |  22.57 |
  29 |   74.8  | 285.18 |  22.55 |
  30 |   74.9  | 285.09 |  22.57 |
  31 |   75.0  | 284.99 |  22.55 |
  32 |   75.1  | 284.92 |  22.57 |
  33 |   75.1  | 284.85 |  22.57 |
  34 |   75.2  | 284.76 |  22.58 |
  35 |   75.3  | 284.66 |  22.54 |
  36 |   75.4  | 284.60 |  22.59 |
  37 |   75.5  | 284.53 |  22.61 |
  38 |   75.5  | 284.49 |  22.60 |
  39 |   75.5  | 284.45 |  22.57 |
  40 |   75.6  | 284.40 |  22.65 |
  41 |   75.7  | 284.34 |  22.62 |
  42 |   75.7  | 284.29 |  22.63 |
  43 |   75.7  | 284.25 |  22.69 |
  44 |   75.8  | 284.19 |  68.88 |
  45 |   75.8  | 284.18 |  22.73 |
  46 |   75.9  | 284.13 |  22.70 |
  47 |   75.9  | 284.08 |  22.69 |
  48 |   76.0  | 284.01 |  22.74 |
  49 |   76.0  | 283.96 |  22.79 |
  50 |   76.1  | 283.93 |  22.76 |
  51 |   76.1  | 283.89 |  22.77 |
  52 |   76.2  | 283.84 |  22.78 |
  53 |   76.2  | 283.82 |  22.74 |
  54 |   76.2  | 283.81 |  22.72 |
  55 |   76.2  | 283.79 |  22.78 |
  56 |   76.2  | 283.78 |  22.78 |
  57 |   76.2  | 283.76 |  22.78 |
  58 |   76.2  | 283.76 |  22.82 |
  59 |   76.2  | 283.77 |  22.82 |
  60 |   76.2  | 283.77 |  22.78 |
  61 |   76.2  | 283.75 |  22.84 |
  62 |   76.3  | 283.72 |  22.79 |
  63 |   76.3  | 283.73 |  22.78 |
  64 |   76.3  | 283.73 |  22.79 |
  65 |   76.3  | 283.69 |  22.83 |
  66 |   76.3  | 283.66 |  22.86 |
  67 |   76.3  | 283.66 |  22.90 |
  68 |   76.3  | 283.66 |  22.91 |
  69 |   76.3  | 283.68 |  22.89 |
  70 |   76.3  | 283.67 |  22.91 |
  71 |   76.3  | 283.65 |  22.93 |
  72 |   76.4  | 283.64 |  22.93 |
  73 |   76.3  | 283.65 |  22.93 |
  74 |   76.4  | 283.64 |  22.96 |
  75 |   76.4  | 283.64 |  22.96 |
  76 |   76.4  | 283.64 |  22.95 |
  77 |   76.4  | 283.63 |  22.94 |
  78 |   76.3  | 283.65 |  22.92 |
  79 |   76.3  | 283.67 |  22.92 |
  80 |   76.3  | 283.69 |  22.96 |
  81 |   76.3  | 283.69 |  22.96 |
  82 |   76.3  | 283.69 |  22.98 |
  83 |   76.3  | 283.71 |  23.01 |
  84 |   76.3  | 283.71 |  23.00 |
  85 |   76.3  | 283.70 |  23.01 |
  86 |   76.3  | 283.70 |  22.93 |
  87 |   76.3  | 283.67 |  22.93 |
  88 |   76.3  | 283.67 |  22.90 |
  89 |   76.3  | 283.68 |  22.96 |
  90 |   76.3  | 283.67 |  23.01 |
  91 |   76.3  | 283.66 |  22.99 |
  92 |   76.4  | 283.64 |  22.99 |
  93 |   76.3  | 283.66 |  23.02 |
  94 |   76.3  | 283.68 |  22.99 |
  95 |   76.3  | 283.69 |  22.98 |
  96 |   76.3  | 283.70 |  23.00 |
  97 |   76.3  | 283.69 |  23.06 |
  98 |   76.3  | 283.66 |  21.00 |
  99 |   76.3  | 283.67 |  23.00 |
