 Time | Bryan raw |  Bryan |  Temp  |
   0 |   77.0  | 283.02 |  39.65 |
   1 |   76.9  | 283.14 |  39.83 |
   2 |   76.8  | 283.24 |  39.83 |
   3 |   76.7  | 283.30 |  39.85 |
   4 |   76.6  | 283.38 |  39.87 |
   5 |   76.6  | 283.41 |  39.91 |
   6 |   76.5  | 283.45 |  39.87 |
   7 |   76.5  | 283.48 |  39.89 |
   8 |   76.4  | 283.55 |  39.86 |
   9 |   76.4  | 283.58 |  39.87 |
  10 |   76.4  | 283.61 |  39.82 |
  11 |   76.4  | 283.63 |  39.85 |
  12 |   76.3  | 283.67 |  39.78 |
  13 |   76.3  | 283.68 |  39.70 |
  14 |   76.3  | 283.69 |  39.67 |
  15 |   76.3  | 283.70 |  39.70 |
  16 |   76.3  | 283.73 |  39.67 |
  17 |   76.2  | 283.76 |  39.68 |
  18 |   76.2  | 283.77 |  39.67 |
  19 |   76.2  | 283.78 |  39.64 |
  20 |   76.2  | 283.77 |  39.66 |
  21 |   76.2  | 283.75 |  39.65 |
  22 |   76.2  | 283.75 |  39.63 |
  23 |   76.3  | 283.73 |  39.63 |
  24 |   76.3  | 283.74 |  39.61 |
  25 |   76.2  | 283.76 |  39.54 |
  26 |   76.2  | 283.77 |  39.54 |
  27 |   76.2  | 283.77 |  39.51 |
  28 |   76.2  | 283.77 |  39.48 |
  29 |   76.2  | 283.75 |  39.53 |
  30 |   76.2  | 283.77 |  39.55 |
  31 |   76.3  | 283.74 |  39.46 |
  32 |   76.3  | 283.73 |  39.42 |
  33 |   76.3  | 283.72 |  39.38 |
  34 |   76.3  | 283.71 |  39.34 |
  35 |   76.3  | 283.73 |  39.33 |
  36 |   76.3  | 283.72 |  39.31 |
  37 |   76.3  | 283.71 |  39.22 |
  38 |   76.3  | 283.70 |  39.20 |
  39 |   76.3  | 283.66 |  39.18 |
  40 |   76.4  | 283.62 |  39.13 |
  41 |   76.4  | 283.61 |  70.02 |
  42 |   76.4  | 283.58 |  39.10 |
  43 |   76.4  | 283.57 |  39.09 |
  44 |   76.4  | 283.55 |  39.06 |
  45 |   76.4  | 283.55 |  39.05 |
  46 |   76.5  | 283.54 |  39.05 |
  47 |   76.5  | 283.54 |  39.02 |
  48 |   76.4  | 283.55 |  38.98 |
  49 |   76.4  | 283.55 |  38.95 |
  50 |   76.5  | 283.54 |  38.95 |
  51 |   76.5  | 283.52 |  38.91 |
  52 |   76.5  | 283.50 |  38.85 |
  53 |   76.5  | 283.49 |  38.86 |
  54 |   76.6  | 283.43 |  38.82 |
  55 |   76.6  | 283.42 |  38.78 |
  56 |   76.6  | 283.41 |  38.75 |
  57 |   76.6  | 283.40 |  38.70 |
  58 |   76.6  | 283.39 |  38.70 |
  59 |   76.6  | 283.35 |  69.98 |
  60 |   76.7  | 283.34 |  38.65 |
  61 |   76.6  | 283.35 |  38.60 |
  62 |   76.6  | 283.36 |  38.54 |
  63 |   76.7  | 283.34 |  38.56 |
  64 |   76.7  | 283.32 |  38.55 |
  65 |   76.7  | 283.28 |  38.52 |
  66 |   76.7  | 283.27 |  38.49 |
  67 |   76.8  | 283.23 |  38.47 |
  68 |   76.8  | 283.19 |  38.43 |
  69 |   76.8  | 283.18 |  38.42 |
  70 |   76.8  | 283.15 |  38.38 |
  71 |   76.8  | 283.15 |  38.35 |
  72 |   76.9  | 283.14 |  38.30 |
  73 |   76.9  | 283.10 |  38.24 |
  74 |   76.9  | 283.09 |  21.77 |
  75 |   76.9  | 283.05 |  38.22 |
  76 |   77.0  | 283.01 |  38.20 |
  77 |   77.0  | 283.01 |  38.14 |
  78 |   77.0  | 283.00 |  38.12 |
  79 |   77.0  | 282.99 |  38.12 |
  80 |   77.1  | 282.94 |  38.12 |
  81 |   77.1  | 282.91 |  38.08 |
  82 |   77.1  | 282.90 |  21.00 |
  83 |   77.1  | 282.89 |  38.02 |
  84 |   77.1  | 282.85 |  38.04 |
  85 |   77.2  | 282.83 |  37.95 |
  86 |   77.2  | 282.80 |  37.97 |
  87 |   77.2  | 282.75 |  37.97 |
  88 |   77.3  | 282.73 |  37.92 |
  89 |   77.3  | 282.69 |  37.85 |
  90 |   77.3  | 282.68 |  37.84 |
  91 |   77.3  | 282.67 |  37.80 |
  92 |   77.4  | 282.64 |  37.79 |
  93 |   77.4  | 282.62 |  37.75 |
  94 |   77.4  | 282.58 |  37.73 |
  95 |   77.4  | 282.56 |  37.71 |
  96 |   77.5  | 282.52 |  37.73 |
  97 |   77.5  | 282.49 |  37.72 |
  98 |   77.5  | 282.45 |  37.67 |
  99 |   77.6  | 282.43 |  37.63 |
 100 |   77.6  | 282.40 |  37.63 |
 101 |   77.7  | 282.34 |  37.58 |
 102 |   77.7  | 282.32 |  37.54 |
 103 |   77.7  | 282.28 |  37.53 |
 104 |   77.7  | 282.25 |  37.53 |
 105 |   77.8  | 282.24 |  37.52 |
 106 |   77.8  | 282.23 |  37.48 |
 107 |   77.8  | 282.23 |  37.47 |
 108 |   77.8  | 282.22 |  37.43 |
 109 |   77.8  | 282.19 |  37.43 |
 110 |   77.8  | 282.16 |  37.39 |
 111 |   77.8  | 282.15 |  37.39 |
 112 |   77.9  | 282.11 |  37.36 |
 113 |   77.9  | 282.06 |  37.28 |
 114 |   77.9  | 282.05 |  37.30 |
 115 |   77.9  | 282.06 |  37.27 |
 116 |   78.0  | 282.03 |  37.24 |
