 Time | Bryan raw |  Bryan |  Temp  |
   0 |   11.9  | 348.08 | 215.62 |
   1 |   12.4  | 347.63 | 215.93 |
   2 |   12.8  | 347.21 | 216.05 |
   3 |   13.2  | 346.83 | 216.10 |
   4 |   13.5  | 346.46 | 216.16 |
   5 |   13.9  | 346.13 | 216.25 |
   6 |   14.2  | 345.82 | 216.26 |
   7 |   14.5  | 345.52 | 216.31 |
   8 |   14.7  | 345.25 | 216.36 |
   9 |   15.0  | 345.00 | 216.44 |
  10 |   15.2  | 344.75 | 216.53 |
  11 |   15.5  | 344.54 | 216.55 |
  12 |   15.6  | 344.35 | 216.61 |
  13 |   15.8  | 344.16 | 216.66 |
  14 |   16.0  | 343.98 | 216.69 |
  15 |   16.2  | 343.84 | 216.70 |
  16 |   16.3  | 343.69 | 216.77 |
  17 |   16.4  | 343.56 | 216.83 |
  18 |   16.6  | 343.44 | 216.88 |
  19 |   16.7  | 343.34 | 216.92 |
  20 |   16.8  | 343.22 | 216.97 |
  21 |   16.9  | 343.11 | 217.03 |
  22 |   17.0  | 343.02 | 217.07 |
  23 |   17.1  | 342.93 | 217.18 |
  24 |   17.1  | 342.86 | 217.18 |
  25 |   17.2  | 342.77 | 217.26 |
  26 |   17.3  | 342.71 |  21.01 |
  27 |   17.4  | 342.64 |  21.06 |
  28 |   17.4  | 342.58 |  21.17 |
  29 |   17.5  | 342.52 |  21.16 |
  30 |   17.6  | 342.44 |  21.22 |
  31 |   17.6  | 342.39 |  21.28 |
  32 |   17.7  | 342.34 |  21.32 |
  33 |   17.7  | 342.28 |  21.38 |
  34 |   17.7  | 342.27 |  21.43 |
  35 |   17.8  | 342.23 |  21.46 |
  36 |   17.8  | 342.19 |  21.48 |
  37 |   17.8  | 342.15 |  21.59 |
  38 |   17.9  | 342.13 |  21.66 |
  39 |   17.9  | 342.10 |  21.70 |
  40 |   18.0  | 342.04 |  21.73 |
  41 |   18.0  | 342.01 |  21.78 |
  42 |   18.0  | 341.99 |  21.83 |
  43 |   18.0  | 341.95 |  21.89 |
  44 |   18.1  | 341.92 |  21.94 |
  45 |   18.1  | 341.92 |  21.98 |
  46 |   18.1  | 341.90 |  22.02 |
  47 |   18.1  | 341.90 |  22.07 |
  48 |   18.1  | 341.88 |  22.12 |
  49 |   18.1  | 341.89 |  22.16 |
  50 |   18.1  | 341.90 |  22.23 |
  51 |   18.1  | 341.92 |  22.25 |
  52 |   18.1  | 341.92 |  22.31 |
  53 |   18.1  | 341.93 |  22.37 |
  54 |   18.1  | 341.94 |  22.41 |
  55 |   18.1  | 341.93 |  22.42 |
  56 |   18.0  | 341.95 |  22.49 |
  57 |   18.0  | 341.95 |  22.57 |
  58 |   18.0  | 341.97 |  22.62 |
  59 |   18.0  | 341.99 |  22.66 |
  60 |   18.0  | 342.01 |  22.67 |
  61 |   18.0  | 342.02 |  22.73 |
  62 |   18.0  | 342.04 |  22.81 |
  63 |   18.0  | 342.04 |  22.82 |
  64 |   17.9  | 342.05 |  22.87 |
  65 |   17.9  | 342.05 |  22.95 |
  66 |   17.9  | 342.06 |  23.01 |
  67 |   17.9  | 342.06 |  23.03 |
  68 |   17.9  | 342.07 |  23.10 |
  69 |   17.9  | 342.09 |  23.15 |
  70 |   17.9  | 342.10 |  23.19 |
  71 |   17.9  | 342.12 |  23.20 |
  72 |   17.8  | 342.16 |  23.28 |
  73 |   17.8  | 342.18 |  23.37 |
  74 |   17.8  | 342.18 |  23.36 |
  75 |   17.8  | 342.21 |  23.42 |
  76 |   17.8  | 342.21 |  23.47 |
  77 |   17.8  | 342.23 |  23.51 |
  78 |   17.8  | 342.24 |  23.56 |
  79 |   17.7  | 342.27 |  23.60 |
  80 |   17.7  | 342.28 |  23.65 |
  81 |   17.7  | 342.30 |  23.71 |
  82 |   17.7  | 342.31 |  23.71 |
  83 |   17.7  | 342.34 |  23.79 |
  84 |   17.6  | 342.35 |  23.84 |
  85 |   17.6  | 342.37 |  23.86 |
  86 |   17.6  | 342.40 |  23.96 |
  87 |   17.6  | 342.40 |  23.94 |
  88 |   17.6  | 342.42 |  24.00 |
  89 |   17.5  | 342.45 |  24.09 |
  90 |   17.5  | 342.47 |  24.10 |
  91 |   17.3  | 342.69 |  21.00 |
  92 |   17.3  | 342.68 |  24.21 |
  93 |   17.3  | 342.71 |  24.26 |
  94 |   17.3  | 342.73 |  24.29 |
  95 |   17.2  | 342.75 |  24.37 |
  96 |   17.2  | 342.76 |  24.38 |
  97 |   17.2  | 342.77 |  24.42 |
  98 |   17.2  | 342.78 |  24.48 |
  99 |   17.2  | 342.79 |  24.51 |
 100 |   17.2  | 342.82 |  24.57 |
 101 |   17.2  | 342.84 |  24.61 |
